address,latitude,longitude
71st Street,41.764641,-87.686772
71st Street,41.764877,-87.666635
71st Street,41.765008,-87.657067
71st Street,41.765153,-87.647751
71st Street,41.765204,-87.644371
71st St,41.765644,-87.618476
71st St,41.76626,-87.574226
Commercial Ave,41.739836,-87.551476
Commercial Ave,41.732725,-87.55132
Commercial Ave,41.724444,-87.551124
Commercial Ave,41.718183,-87.551016
Cottage Grove Ave,41.820171,-87.606798
Cottage Grove Ave,41.807987,-87.606532
Cottage Grove Ave,41.797881,-87.606302
Cottage Grove Ave,41.78269,-87.605979
Cottage Grove Ave,41.775779,-87.605826
Cottage Grove Ave,41.770685,-87.605711
Cottage Grove Ave,41.760801,-87.605452
Cottage Grove Ave,41.734791,-87.604779
Cottage Grove Ave,41.710922,-87.60573
Damen Ave,41.859378,-87.676043
Damen Ave,41.854926,-87.67592
Damen Ave,41.850395,-87.67579
Damen Ave,41.844875,-87.675652
Damen Ave,41.830389,-87.675279
Damen Ave,41.827625,-87.675208
Damen Ave,41.803741,-87.674569
Damen Ave,41.785746,-87.674075
Damen Ave,41.770409,-87.673671
Damen Ave,41.757363,-87.673336
Dr Martin Luther King Jr Dr,41.838419,-87.617465
Dr Martin Luther King Jr Dr,41.825982,-87.617039
Dr Martin Luther King Jr Dr,41.814852,-87.616741
Dr Martin Luther King Jr Dr,41.795094,-87.615989
Dr Martin Luther King Jr Dr,41.754187,-87.615027
Dr Martin Luther King Jr Dr,41.726239,-87.614254
Dr Martin Luther King Jr Dr,41.706494,-87.613745
Exchange Ave,41.755798,-87.55646
Exchange Ave,41.7504,-87.5528
Indiana Ave,41.863938,-87.622471
Indiana Ave,41.85566,-87.62228
Indiana Ave,41.832167,-87.621788
Indiana Ave,41.828022,-87.621694
Indiana Ave,41.787779,-87.620665
Indianapolis Ave,41.707611,-87.529702
Jeffery Blvd,41.775215,-87.575158
Jeffery Blvd,41.77038,-87.576414
Jeffery Blvd,41.761454,-87.576196
Jeffery Blvd,41.747152,-87.575902
Jeffery Blvd,41.737902,-87.575714
Jeffery Blvd,41.739269,-87.575753
Jeffery Ave,41.719732,-87.57529
Dr Martin Luther King Jr Dr,41.760689,-87.615174
Dr Martin Luther King Jr Dr,41.849344,-87.618459
Lake Park Ave,41.797367,-87.587322
Michigan Ave,41.865924,-87.624115
Michigan Ave,41.850595,-87.623745
Michigan Ave,41.839562,-87.623493
Michigan Ave,41.834369,-87.623323
Michigan Ave,41.826807,-87.623149
Michigan Ave,41.811191,-87.622886
Michigan Ave,41.796652,-87.622518
Michigan Ave,41.718658,-87.620521
South Shore Dr,41.770241,-87.566558
South Shore Dr,41.756313,-87.552698
South Shore Dr,41.766314,-87.565472
State St,41.863436,-87.62733
State St,41.833661,-87.626468
State St,41.810903,-87.626128
State St,41.792077,-87.625634
State St,41.777072,-87.62526
State St,41.757046,-87.624736
State St,41.745812,-87.624391
State St,41.728281,-87.623913
State St,41.713246,-87.623646
Wentworth Ave,41.853156,-87.631785
Wentworth Ave,41.773651,-87.629987
Wentworth Ave,41.720659,-87.628638
Archer Ave,41.831501,-87.67584
Archer Ave,41.853553,-87.633392
Archer Ave,41.807818,-87.714468
Archer Ave,41.849975,-87.64032
Archer Ave,41.835106,-87.669954
Ashland Ave,41.876934,-87.666676
Ashland Ave,41.872567,-87.66656
Ashland Ave,41.861874,-87.666256
Ashland Ave,41.781444,-87.664267
Ashland Ave,41.775834,-87.66412
Ashland Ave,41.763965,-87.663752
Ashland Ave,41.757724,-87.663608
Ashland Ave,41.745469,-87.663314
Ashland Ave,41.733288,-87.662994
Clark St,41.873009,-87.630632
Clark St,41.869893,-87.630511
Clark St,41.861478,-87.630255
Clark St,41.855964,-87.630176
Clark St,41.853467,-87.630093
Halsted St,41.87346,-87.647091
Halsted St,41.865313,-87.646862
Halsted St,41.829513,-87.646078
Halsted St,41.796466,-87.645213
Halsted St,41.78453,-87.644905
Halsted St,41.771775,-87.644579
Halsted St,41.760683,-87.644298
Halsted St,41.735001,-87.643587
Halsted St,41.719968,-87.643173
Vincennes Ave,41.75002,-87.634415
Vincennes Ave,41.731171,-87.647028
Vincennes Ave,41.720798,-87.650838
Vincennes Ave,41.710702,-87.654574
Vincennes Ave,41.698034,-87.65927
Western Ave,41.872427,-87.686197
Western Ave,41.847006,-87.685499
Western Ave,41.834882,-87.684561
Western Ave,41.820278,-87.684745
Western Ave,41.77249,-87.683456
Western Ave,41.761813,-87.683164
Western Ave,41.756743,-87.683025
Western Ave,41.730457,-87.682356
Western Ave,41.712676,-87.68181
Western Ave,41.699963,-87.681415
Western Blvd,41.79459,-87.684058
Stony Island Ave,41.71675,-87.585043
Stony Island Ave,41.755119,-87.586125
Stony Island Ave,41.740553,-87.58573
Stony Island Ave,41.724124,-87.585159
Stony Island Ave,41.745515,-87.585819
Stony Island Ave,41.769698,-87.586238
Stony Island Ave,41.792127,-87.586689
92nd St,41.72824,-87.552415
92nd St,41.728253,-87.550704
99th Street,41.714033,-87.657301
99th Street,41.713939,-87.664213
100th St,41.713352,-87.558074
100th St,41.713772,-87.54362
Avenue L,41.720702,-87.536499
Avenue L,41.711118,-87.536485
Beverly Ave,41.719205,-87.662247
